iter	Passed	Remaining
0	115	115249
1	117	58596
2	118	39437
3	119	29785
4	120	24050
5	121	20176
6	124	17674
7	126	15627
8	127	14019
9	128	12687
10	128	11596
11	129	10690
12	130	9934
13	131	9282
14	132	8720
15	133	8219
16	134	7777
17	135	7379
18	136	7032
19	138	6784
20	139	6498
21	140	6234
22	141	5997
23	142	5781
24	143	5579
25	143	5390
26	144	5215
27	145	5058
28	146	4910
29	147	4777
30	148	4647
31	149	4525
32	150	4414
33	152	4322
34	153	4237
35	155	4158
36	156	4075
37	157	3995
38	159	3918
39	160	3850
40	162	3791
41	164	3747
42	165	3684
43	167	3628
44	168	3571
45	169	3514
46	170	3458
47	171	3404
48	173	3358
49	174	3312
50	175	3264
51	176	3216
52	177	3168
53	178	3122
54	179	3081
55	182	3074
56	184	3044
57	185	3005
58	186	2969
59	188	2955
60	189	2920
61	190	2886
62	191	2854
63	192	2821
64	194	2791
65	195	2768
66	197	2746
67	198	2717
68	199	2688
69	200	2659
70	201	2631
71	202	2604
72	203	2578
73	204	2553
74	205	2528
75	205	2504
76	206	2479
77	207	2456
78	208	2434
79	209	2414
80	211	2399
81	212	2379
82	213	2354
83	214	2334
84	215	2316
85	216	2297
86	217	2278
87	218	2259
88	219	2243
89	220	2226
90	221	2207
91	221	2189
92	222	2174
93	224	2164
94	226	2162
95	228	2148
96	229	2134
97	230	2119
98	231	2105
99	232	2091
100	233	2077
101	234	2063
102	235	2049
103	236	2036
104	237	2023
105	238	2011
106	239	1999
107	240	1987
108	241	1975
109	242	1964
110	243	1952
111	244	1941
112	245	1928
113	246	1916
114	247	1905
115	248	1895
116	249	1883
117	250	1872
118	251	1861
119	252	1850
120	253	1839
121	253	1826
122	254	1816
123	255	1808
124	257	1799
125	257	1789
126	258	1778
127	259	1768
128	260	1758
129	261	1749
130	262	1739
131	263	1731
132	264	1722
133	265	1713
134	265	1704
135	266	1695
136	267	1686
137	268	1677
138	269	1668
139	270	1661
140	271	1654
141	272	1644
142	273	1636
143	273	1628
144	274	1619
145	275	1611
146	276	1603
147	277	1595
148	278	1588
149	279	1581
150	279	1573
151	280	1566
152	281	1558
153	282	1550
154	283	1543
155	283	1536
156	284	1529
157	285	1523
158	287	1518
159	287	1511
160	288	1503
161	289	1496
162	290	1489
163	290	1482
164	291	1476
165	292	1469
166	293	1462
167	294	1456
168	294	1450
169	295	1444
170	296	1437
171	297	1431
172	298	1425
173	298	1419
174	299	1413
175	300	1409
176	302	1405
177	303	1399
178	304	1394
179	304	1388
180	305	1384
181	306	1379
182	307	1374
183	308	1369
184	309	1363
185	310	1357
186	311	1352
187	311	1347
188	312	1341
189	313	1336
190	314	1331
191	316	1333
192	317	1328
193	318	1323
194	319	1319
195	320	1314
196	321	1309
197	322	1304
198	322	1300
199	323	1294
200	324	1289
201	325	1284
202	326	1280
203	326	1275
204	327	1270
205	328	1265
206	329	1260
207	330	1256
208	331	1253
209	332	1249
210	333	1245
211	333	1241
212	334	1236
213	335	1232
214	336	1229
215	337	1225
216	338	1221
217	339	1216
218	340	1212
219	340	1208
220	341	1204
221	342	1200
222	343	1196
223	344	1192
224	344	1188
225	346	1185
226	347	1182
227	348	1179
228	349	1175
229	349	1171
230	350	1167
231	351	1163
232	352	1159
233	353	1155
234	353	1151
235	354	1148
236	355	1144
237	356	1140
238	357	1136
239	357	1133
240	358	1129
241	359	1126
242	360	1123
243	361	1119
244	362	1116
245	363	1113
246	364	1109
247	365	1106
248	365	1103
249	366	1100
250	367	1096
251	368	1093
252	369	1089
253	369	1086
254	370	1083
255	371	1080
256	372	1076
257	373	1073
258	373	1069
259	374	1066
260	375	1064
261	376	1061
262	377	1058
263	378	1055
264	379	1052
265	380	1049
266	380	1045
267	381	1042
268	382	1039
269	383	1036
270	384	1033
271	384	1030
272	385	1026
273	386	1023
274	387	1020
275	388	1017
276	388	1015
277	389	1012
278	391	1010
279	392	1008
280	392	1005
281	393	1002
282	394	999
283	395	996
284	396	993
285	396	990
286	397	988
287	398	985
288	399	983
289	400	980
290	401	978
291	402	975
292	403	973
293	404	971
294	405	969
295	406	967
296	407	964
297	408	961
298	409	959
299	410	956
300	410	954
301	411	951
302	412	949
303	413	946
304	414	944
305	415	941
306	415	938
307	416	936
308	417	933
309	418	931
310	419	929
311	420	927
312	421	925
313	422	922
314	423	920
315	424	918
316	425	916
317	426	913
318	426	911
319	427	909
320	428	906
321	429	904
322	430	902
323	431	899
324	432	897
325	433	895
326	434	894
327	435	892
328	436	890
329	437	888
330	438	886
331	439	883
332	440	881
333	441	879
334	442	877
335	443	876
336	444	874
337	445	872
338	446	870
339	447	868
340	448	867
341	449	864
342	450	863
343	451	861
344	452	859
345	453	857
346	454	855
347	455	853
348	456	851
349	457	849
350	458	847
351	459	845
352	460	843
353	461	841
354	462	840
355	463	838
356	464	836
357	465	835
358	467	834
359	468	832
360	469	830
361	470	828
362	471	826
363	472	824
364	473	823
365	474	821
366	475	819
367	476	817
368	477	816
369	478	814
370	479	813
371	480	811
372	482	810
373	482	808
374	483	806
375	484	804
376	485	802
377	486	800
378	487	798
379	488	797
380	489	795
381	490	793
382	491	791
383	492	789
384	493	788
385	494	786
386	495	785
387	497	784
388	498	782
389	499	781
390	500	779
391	501	778
392	502	776
393	503	775
394	504	773
395	505	771
396	506	769
397	507	768
398	509	766
399	510	765
400	512	765
401	513	764
402	514	762
403	515	761
404	517	759
405	518	757
406	519	756
407	520	755
408	522	754
409	523	753
410	524	751
411	525	750
412	527	749
413	528	747
414	529	746
415	530	745
416	531	743
417	533	742
418	534	740
419	535	739
420	536	737
421	537	736
422	538	734
423	539	733
424	543	734
425	544	733
426	546	732
427	547	731
428	548	729
429	549	728
430	550	727
431	553	727
432	554	726
433	555	724
434	557	723
435	558	722
436	559	720
437	560	719
438	562	718
439	563	716
440	564	715
441	565	714
442	566	712
443	568	711
444	569	710
445	571	709
446	572	708
447	573	706
448	574	705
449	576	704
450	577	703
451	579	701
452	580	700
453	581	699
454	582	698
455	584	696
456	585	695
457	586	694
458	588	693
459	589	691
460	590	690
461	591	689
462	593	688
463	594	686
464	595	685
465	597	684
466	598	682
467	599	681
468	600	680
469	602	679
470	603	677
471	604	676
472	605	674
473	606	673
474	608	672
475	609	671
476	610	669
477	611	668
478	613	666
479	614	665
480	615	664
481	617	663
482	618	661
483	619	660
484	620	659
485	622	658
486	623	657
487	624	655
488	626	654
489	627	653
490	628	651
491	630	650
492	631	649
493	633	648
494	634	647
495	635	645
496	636	644
497	638	643
498	639	641
499	640	640
500	641	639
501	643	637
502	644	636
503	645	635
504	648	635
505	649	633
506	650	632
507	652	631
508	653	630
509	654	628
510	655	627
511	656	626
512	658	625
513	659	623
514	661	623
515	663	622
516	664	621
517	665	619
518	667	618
519	668	616
520	669	615
521	670	614
522	672	613
523	673	611
524	674	610
525	686	618
526	688	617
527	690	617
528	692	616
529	695	616
530	696	615
531	697	613
532	699	612
533	700	611
534	701	609
535	703	608
536	704	607
537	705	606
538	708	605
539	710	604
540	711	604
541	713	603
542	716	602
543	717	601
544	719	600
545	720	599
546	722	598
547	723	596
548	725	595
549	726	594
550	727	593
551	729	592
552	730	590
553	732	589
554	733	588
555	734	586
556	736	585
557	738	584
558	739	583
559	740	582
560	742	581
561	743	579
562	745	578
563	746	577
564	748	575
565	749	574
566	751	573
567	753	572
568	754	571
569	756	570
570	758	569
571	759	568
572	761	567
573	762	565
574	764	564
575	765	563
576	767	562
577	769	561
578	771	560
579	772	559
580	774	558
581	775	557
582	777	555
583	778	554
584	779	553
585	781	552
586	783	551
587	785	550
588	786	549
589	788	547
590	789	546
591	790	545
592	792	543
593	793	542
594	795	541
595	796	540
596	800	540
597	802	539
598	804	538
599	805	537
600	807	536
601	809	535
602	810	533
603	812	532
604	815	532
605	816	530
606	818	529
607	819	528
608	821	527
609	823	526
610	825	525
611	827	524
612	829	523
613	831	522
614	832	521
615	834	520
616	835	518
617	837	517
618	838	516
619	840	515
620	843	514
621	846	514
622	848	513
623	851	512
624	852	511
625	854	510
626	856	509
627	858	508
628	860	507
629	862	506
630	864	505
631	865	504
632	867	502
633	869	502
634	871	500
635	873	500
636	876	499
637	878	498
638	880	497
639	882	496
640	884	495
641	886	494
642	888	493
643	890	492
644	892	491
645	893	489
646	895	488
647	897	487
648	898	486
649	900	484
650	901	483
651	906	483
652	908	482
653	911	482
654	913	481
655	914	479
656	916	478
657	919	478
658	922	477
659	924	476
660	926	475
661	927	473
662	929	472
663	931	471
664	933	470
665	936	469
666	938	468
667	940	467
668	942	466
669	944	464
670	945	463
671	947	462
672	950	461
673	952	460
674	953	459
675	955	457
676	957	456
677	959	455
678	960	454
679	962	453
680	964	452
681	966	450
682	968	449
683	970	448
684	972	447
685	974	445
686	975	444
687	977	443
688	981	442
689	983	441
690	986	441
691	988	439
692	990	438
693	992	437
694	994	436
695	996	435
696	997	433
697	999	432
698	1001	431
699	1003	430
700	1005	428
701	1008	428
702	1011	427
703	1014	426
704	1016	425
705	1018	424
706	1021	423
707	1025	422
708	1027	421
709	1029	420
710	1031	419
711	1033	418
712	1035	416
713	1037	415
714	1040	414
715	1042	413
716	1044	412
717	1046	411
718	1048	409
719	1050	408
720	1052	407
721	1054	406
722	1056	404
723	1058	403
724	1060	402
725	1062	401
726	1065	399
727	1066	398
728	1069	397
729	1071	396
730	1073	395
731	1075	393
732	1076	392
733	1078	390
734	1080	389
735	1083	388
736	1085	387
737	1088	386
738	1090	385
739	1092	383
740	1095	382
741	1097	381
742	1099	380
743	1101	378
744	1103	377
745	1105	376
746	1107	375
747	1109	373
748	1112	372
749	1115	371
750	1117	370
751	1119	369
752	1122	368
753	1125	367
754	1128	366
755	1130	364
756	1133	363
757	1135	362
758	1137	361
759	1139	359
760	1142	358
761	1145	357
762	1147	356
763	1149	355
764	1151	353
765	1153	352
766	1155	350
767	1156	349
768	1159	348
769	1161	346
770	1163	345
771	1165	344
772	1167	342
773	1168	341
774	1170	339
775	1173	338
776	1176	337
777	1178	336
778	1180	334
779	1181	333
780	1183	331
781	1185	330
782	1187	329
783	1189	327
784	1191	326
785	1193	325
786	1195	323
787	1197	322
788	1199	320
789	1201	319
790	1203	318
791	1205	316
792	1208	315
793	1209	313
794	1211	312
795	1213	311
796	1215	309
797	1217	308
798	1220	307
799	1222	305
800	1224	304
801	1225	302
802	1227	301
803	1229	299
804	1231	298
805	1234	297
806	1236	295
807	1238	294
808	1240	292
809	1242	291
810	1243	289
811	1245	288
812	1247	287
813	1250	285
814	1252	284
815	1254	282
816	1256	281
817	1258	280
818	1260	278
819	1264	277
820	1267	276
821	1269	274
822	1271	273
823	1273	271
824	1275	270
825	1277	269
826	1279	267
827	1281	266
828	1283	264
829	1285	263
830	1287	261
831	1289	260
832	1290	258
833	1292	257
834	1296	256
835	1297	254
836	1299	253
837	1301	251
838	1303	250
839	1304	248
840	1306	247
841	1309	245
842	1311	244
843	1312	242
844	1315	241
845	1317	239
846	1319	238
847	1321	236
848	1324	235
849	1327	234
850	1329	232
851	1331	231
852	1332	229
853	1334	228
854	1336	226
855	1338	225
856	1340	223
857	1342	222
858	1344	220
859	1346	219
860	1348	217
861	1349	216
862	1351	214
863	1353	213
864	1355	211
865	1357	210
866	1359	208
867	1361	206
868	1362	205
869	1364	203
870	1366	202
871	1368	200
872	1370	199
873	1372	197
874	1374	196
875	1376	194
876	1378	193
877	1379	191
878	1381	190
879	1383	188
880	1385	187
881	1388	185
882	1389	184
883	1392	182
884	1394	181
885	1396	179
886	1400	178
887	1402	176
888	1404	175
889	1406	173
890	1408	172
891	1410	170
892	1412	169
893	1414	167
894	1416	166
895	1418	164
896	1420	163
897	1422	161
898	1424	160
899	1426	158
900	1429	157
901	1431	155
902	1433	153
903	1436	152
904	1438	150
905	1440	149
906	1442	147
907	1444	146
908	1446	144
909	1448	143
910	1451	141
911	1453	140
912	1455	138
913	1457	137
914	1460	135
915	1462	134
916	1464	132
917	1466	130
918	1467	129
919	1469	127
920	1472	126
921	1474	124
922	1477	123
923	1478	121
924	1481	120
925	1483	118
926	1485	116
927	1487	115
928	1489	113
929	1491	112
930	1493	110
931	1494	109
932	1496	107
933	1498	105
934	1500	104
935	1503	102
936	1505	101
937	1507	99
938	1509	98
939	1511	96
940	1513	94
941	1514	93
942	1517	91
943	1519	90
944	1521	88
945	1523	86
946	1525	85
947	1528	83
948	1530	82
949	1540	81
